127.0.0.1 - - [07/Jun/2018:11:14:20 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/resources/fonts/themify.eot? HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/resources/fonts/Simple-Line-Icons.eot?v=2.4.0 HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/resources/fonts/feathericons/feathericons.eot? HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:21 +0200] "GET /Spring11-MVCHibernate/resources/css/resources/images/slider.jpg HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 3957
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/resources/css/style.css;jsessionid=62E6DB9288225AE3EC9D0A9D9D4EC5C1 HTTP/1.1" 200 22420
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/resources/css/bootstrap.min.css;jsessionid=62E6DB9288225AE3EC9D0A9D9D4EC5C1 HTTP/1.1" 200 154772
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/resources/css/themify-icons.css;jsessionid=62E6DB9288225AE3EC9D0A9D9D4EC5C1 HTTP/1.1" 200 17528
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/resources/css/simple-line-icons.css;jsessionid=62E6DB9288225AE3EC9D0A9D9D4EC5C1 HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:31 +0200] "GET /Spring11-MVCHibernate/resources/css/set1.css;jsessionid=62E6DB9288225AE3EC9D0A9D9D4EC5C1 HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:32 +0200] "GET /Spring11-MVCHibernate/resources/images/b2.jpeg HTTP/1.1" 200 161100
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:14:32 +0200] "GET /Spring11-MVCHibernate/resources/css/resources/images/slider.jpg HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/simple-line-icons.css HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/set1.css HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/bootstrap.min.css HTTP/1.1" 200 154772
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/themify-icons.css HTTP/1.1" 200 17528
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/style.css HTTP/1.1" 200 22420
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:20 +0200] "GET /Spring11-MVCHibernate/resources/css/resources/images/slider.jpg HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:25 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 1968
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:25 +0200] "GET /Spring11-MVCHibernate/resources/css/otro.css HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:18:25 +0200] "GET /Spring11-MVCHibernate/resources/images/b4.jpg HTTP/1.1" 200 880355
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:05 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:38 +0200] "GET /Spring11-MVCHibernate/resources/css/resources/images/slider.jpg HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:55 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:55 +0200] "GET /Spring11-MVCHibernate/resources/css/otro.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:55 +0200] "GET /Spring11-MVCHibernate/resources/images/b4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:19:59 +0200] "GET /Spring11-MVCHibernate/new HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:06 +0200] "POST /Spring11-MVCHibernate/save HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:06 +0200] "GET /Spring11-MVCHibernate/new2?id=6 HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:10 +0200] "POST /Spring11-MVCHibernate/save2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:10 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:14 +0200] "GET /Spring11-MVCHibernate/borrar?id=6&codEmpleado=asd23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:20:14 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 1995
